1960	51828660
1961	53472435.732411
1962	55149990.210501
1963	56860867.4709111
1964	58604533.2939591
1965	60380374.2928709
1966	62187697.9137804
1967	64025756.4830364
1968	65893695.7231141
1969	67790551.7055671
1970	69715291.0440149
1971	71666810.8941427
1972	73643938.953701
1973	75645433.4625061
1974	77669983.2024397
1975	79716207.4974495
1976	81782656.2135484
1977	83867809.7588151
1978	85970079.0833939
1979	88087805.6794947
1980	90219261.5813929
1981	92362756.013412
1982	94516524.4038893
1983	96678678.9090656
1984	98847335.5643748
1985	101020614.284444
1986	103196638.863094
1987	105373536.973339
1988	107549440.167385
1989	109722483.876633
1990	111890807.411677
1991	114052553.962303
1992	116205870.597491
1993	118348908.265416
1994	120479821.793443
1995	122596884.85648
1996	124698448.694559
1997	126782841.868127
1998	128848465.5723
1999	130893793.636857
2000	132917372.526243
2001	134917821.339571
2002	136893831.810617
2003	138844168.307824
2004	140767667.8343
2005	142663240.027821
2006	144529867.160825
2007	146366604.14042
2008	148172578.508376
2009	149947009.004283
2010	151689229.810923
2011	153398648.483869
2012	155074742.409361
2013	156717058.804317
2014	158325214.716323
2015	159898897.023641
2016	161437862.435204
2017	162941937.490618
2018	164411018.560162
2019	165845071.844786
2020	167244133.376116
2021	168608309.016447
2022	169937774.458749
2023	171232726.12984
2024	172493392.449553
2025	173720072.695139
2026	174913097.106194
2027	176072826.884652
2028	177199654.194787
2029	178294002.163215
2030	179356324.878894
2031	180387107.393121
2032	181386865.719534
2033	182356146.834113
2034	183295528.675177
2035	184205620.143387
2036	185087061.101745
2037	185940472.218524
2038	186766435.909819
2039	187565560.176559
2040	188338456.078919
2041	189085737.736324
2042	189808022.327445
2043	190505930.090204
2044	191180084.321768
2045	191831111.378555
2046	192459640.676228
2047	193066304.689701
2048	193651738.953134
2049	194216582.059936
2050	194761475.662764
2051	195287031.077091
2052	195793801.883527
2053	196282340.332645
2054	196753191.882706
2055	197206895.199664
2056	197643982.157159
2057	198064977.836525
2058	198470400.526784
2059	198860761.724649
2060	199236566.134523
2061	199598311.668498
2062	199946489.446359
2063	200281583.795577
2064	200604072.251318
2065	200914404.205968
2066	201212979.50105
2067	201500190.667373
2068	201776422.790637
2069	202042053.51144
2070	202297453.025277
2071	202542984.082535
2072	202779001.988502
2073	203005854.603356
2074	203223882.342175
2075	203433418.17493
2076	203634787.62649
2077	203828308.776619
2078	204014292.259975
2079	204193027.576047
2080	204364769.56208
2081	204529767.151264
2082	204688263.777758
2083	204840497.376689
2084	204986700.384152
2085	205127099.737212
2086	205261916.873903
2087	205391367.733225
2088	205515662.755149
2089	205635006.880613
2090	205749599.551525
2091	205859634.71076
2092	205965300.802163
2093	206066762.493901
2094	206164168.421667
2095	206257675.210782
2096	206347434.625851
2097	206433593.570761
2098	206516294.088682
2099	206595673.362066
2100	206671863.71265
