%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%% Bangladesh-population-fit using Logistic Model 
%% Solved using ode45 in MATLAB
%% Data used from 1960 to 2025 
%% Projection of population up to year 2100

%% Data taken from two open sources: World Bank Open Data (year:1960 to 2023) & Worldometer (year: 2024 to 2025)
%% Data link 1 (World Bank: 1960 to 2023): https://data.worldbank.org/indicator/SP.POP.TOTL?locations=BD
%% Data link 2 (Worldometer: 2024 to 2025): https://www.worldometers.info/world-population/bangladesh-population/
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%% Model description:

Logistic growth model (ODE): dP/dt = r*P*(1 - P/K)
where,
P(t) = population (or any quantity) at time t
r = intrinsic growth rate (per unit time)
K = carrying capacity (maximum sustainable population)

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Data-fitting to the model reveals: 
***********************
Estimated r: 0.0413 per year 

(That means, population growth is 4.13 % annually) 
***********************
Estimated K: 211.21 million 

(That means, in the long run, BD population will stabilse near 211.21 million ) 
***********************

Assumption: If current flow continues and no external force hampers the ongoing situation

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Year    Projection from the Logistic Model
2026	175715517.716954
2027	176917263.257031
2028	178086002.463988
2029	179222107.880511
2030	180325985.183008
2031	181398073.181606
2032	182438843.820151
2033	183448802.176209
2034	184428486.461066
2035	185378468.019728
2036	186299351.330919
2037	187191724.62586
2038	188056144.258358
2039	188893195.282033
2040	189703467.471473
2041	190487555.322239
2042	191246058.05086
2043	191979579.594835
2044	192688728.612633
2045	193374118.483693
2046	194036367.308424
2047	194676097.908203
2048	195293937.825379
2049	195890519.323269
2050	196466479.386163
2051	197022426.327109
2052	197558913.951149
2053	198076496.399642
2054	198575721.65175
2055	199057131.524445
2056	199521261.672504
2057	199968641.588511
2058	200399794.602857
2059	200815237.883739
2060	201215482.437162
2061	201601033.106936
2062	201972388.574679
2063	202330041.359816
2064	202674477.819575
2065	203006156.919085
2066	203325489.013142
2067	203632877.374613
2068	203928717.88007
2069	204213399.009784
2070	204487301.847729
2071	204750800.08158
2072	205004260.002714
2073	205248040.506212
2074	205482493.090853
2075	205707961.859121
2076	205924783.517199
2077	206133287.374974
2078	206333795.346035
2079	206526608.366628
2080	206711992.600475
2081	206890208.021974
2082	207061508.961284
2083	207226144.104329
2084	207384356.492793
2085	207536383.524124
2086	207682456.951531
2087	207822802.883989
2088	207957641.786232
2089	208087188.478757
2090	208211652.137826
2091	208331236.295461
2092	208446138.839447
2093	208556533.589336
2094	208662578.003141
2095	208764437.412695
2096	208862272.109204
2097	208956237.343248
2098	209046483.324779
2099	209133155.223126
2100	209216393.166989
